# this file contains subjects exempt from manual correction of saliva data
uid,variable
11020,timestamp
12020,timestamp
11021,Number
12021,timestamp
11024,Number
12025,Label
11026,Label
11027,Label
12027,timestamp
12028,Label
11033,Label
12033,Label
11037,Label
11040,Label
12046,Label
12047,Number
11048,Label
12048,Label
11057,Label
12058,Label
12063,Label
12082,Label
11086,Label
11095,Number
12095,Label
12111,Label
11112,Number
12112,Number
11114,Label
12114,Label
11115,Label
12115,Label
12116,Label
11117,Label
12117,Number
11118,Label
12118,Label
11120,Label
12024,Label
11068,Label
12127,Label
12038,timestamp
11156,Number
12182,Label
11167,Number
12167,Label
11161,Label
11164,Label
11153,Label
12153,Number
12149,Label
12215,Number
12187,Label
11217,Number
11142,Number
12185,Number
11162,Number
12162,Number
11202,Number
12151,Number
12201,Number
12205,Label
12206,Label
11195,Label
12195,Number
11191,Number
11200,Number
12200,Label
12175,Label
12199,Label
12132,Label
11196,Label
11154,Label
12154,Label
11149,Label
12158,Label
11141,Number
12141,Number
11127,Label
12190,Label
12177,Label
11056,Label
11069,Label
12086,Label
12066,timestamp
12156,Label
11182,Label
11173,Label
12173,Label
12146,Label
12183,Label
11207,Number
12202,Label
11151,Label
11192,Label
11174,Label
11175,Label
12196,Label
11137,Label
12143,Label
